stock,date,title,label
MTOR,2011-11-29,"UPDATE: Morgan Stanley Upgrades Meritor to Overweight; Morgan Stanley Upgrades Meritor to Overweight, Lowers PT to $8",1
TXRH,2015-11-02,"Monday's After-Hours Movers Led By Fitbit, Texas Roadhouse, Tenet Healthcare And Qualys; Texas Roadhouse Reports Q3 EPS $0.29 vs $0.30 Est., Sales $438.089M vs $438M Est.; 3 Restaurant Stocks Winning From Low Beef Costs Heading Into Next Year",2
WNS,2012-07-18,WNS Announces Departure of CFO  ; WNS (Holdings) Limited (ADR) Reports Q1 EPS $0.22 vs $0.22 Est; Revenues $107.8M vs $101.19M Est; UPDATE: WNS Posts Increase In Q1 Profit,1
SNY,2011-04-26,"Sanofi-aventis and Regeneron Report Positive Phase III Results With ZALTRAP in Second-line Metastatic Colorectal Cancer  ; Sanofi-aventis and Regeneron Report Positive Phase III Results With ZALTRAP™ (SNY, REGN)",1
RGEN,2017-06-23,"A Peek Into The Markets: U.S. Stock Futures Mostly Lower Ahead Of Fed Speakers, Economic Data; Repligen Reports Deal To Buy Privately-Held Spectrum For ~$359M; Repligen Shares Halted News Pending",2
JWN,2012-08-03,Robert W. Baird Downgrades Nordstrom from Outperform to Neutral; Benzinga's Top Downgrades; A Peek Into The Market Before The Trading Starts,2
HALO,2013-12-18,"UPDATE: Halozyme Spikes Higher on Positive CNBC Comments; Halozyme Spikes Higher; Option Alert: Halozyme January $15 Call; 6,010 Contracts Traded Wednesday vs 279 Open Interest; Currently $13.14",2
KAI,2017-08-01,"Kadant Sees Q3 EPS $1.12-1.16 vs $0.90 Est.; Kadant Reports Q2 EPS $1.04 vs $0.91 Est., Sales $110M vs $111.78M Est.",0
TM,2010-07-20,Are the Auto Stocks Revving Up?; U.S. Grand Jury Subpoenas Toyota Documents (TM),1
COF,2010-01-05,"Market Round-up (MESA, DAL, CRH, TTM, COF); Benzinga’s Top Upgrades (QCOM, ERIC, IPI, COF, WLP)",2
PRGS,2013-06-14,"Mid-Day Market Update: Stocks Move Lower, Groupon Rises on Analyst Upgrade; Mid-Morning Market Update: Markets Slightly Higher, Smithfield Posts Lower Profit; Needham Downgrades Progress Software Corporation to Hold, Removes $29.00 PT",2
RSPP,2014-07-25,"8-K from RSP Permian Shows Co. Expecting Q2 Adj. Net Income $8.6-9.1M, Adj. EBITDA $51-53.7M; RSP Permain Announces Acquistion of 7.7K Acres for $259M",1
JWN,2012-07-02,"Canaccord Genuity Upgrades Tiffany to Buy; Is High-End Retail an Opportunity? ; UBS Maintains Nordstrom at Buy, Lowers PT from $63 to $59",1
NAV,2010-11-03,American Capital: A Penny Ahead - Analyst Blog; Wunderlich Securities Maintains Rex Energy Buy Rating And $17 PT,2
CLI,2015-06-19,"Stifel Nicolaus Upgrades Mack Cali Realty To Buy; Benzinga's Top Upgrades; Stifel Just Upgraded Mack-Cali To Buy, Notes 'Room To Roam'; Stifel Nicolaus Upgrades Mack-Cali Realty to Buy",1
SPB,2014-07-30,"Spectrum Brands Holdings, Inc. Reports Q3 EPS of $1.30 vs $1.29 Est; Revenue of $1.13B vs $1.14B Est; Earnings Scheduled For July 30, 2014",2
HBAN,2017-10-26,"Benzinga's Top Upgrades, Downgrades For October 26, 2017; BMO Capital Downgrades Huntington Bancshares to Market Perform",1
NAV,2014-06-03,"ACT Research Data Shows Strong Prelim. Class 8 Truck Orders; PACCAR, Navistar, Cummins Shares Respond; UPDATE: Shares of Navistar, Cummins Also On the Move Following Report of Better-Than-Expected Class 8 Truck Orders; UPDATE: Class 8 Truck Data Coming from ACT Research",2
RLI,2011-01-24,"RLI Acquires Contractors Bonding Insurance Company for $137M; RLI Reports Q4 Operating Earnings of $1.66 per Share; Earnings Scheduled For January 24 (AMGN, MCD, SANM, TXN, HAL, CSX, AXP, VMW, ZION, SLG, GLW, RLI, VLTR, TWIN)",1
RGLD,2011-11-03,"McNicoll, Lewis & Vlak Maintains Royal Gold Buy, $97.70 PT; Royal Gold Reports Q1 EPS $0.43 vs $0.42 Est; Revenues $64.5M vs $62.12M Est			",2
SNY,2016-05-06,"Medivation's Take-Out Price Raised To $68-$78 At Citi; If Medivation Is Sold, Brean Thinks It'll Be For Far More Than Sanofi's Bid; What's M&A Like In The Biotech Sector Right Now?; Medivation Execs Making A Strong Case For Independent Growth Vs. Sale, Credit Suisse Says",1
TM,2010-02-26,"Joe Terranova Recommends JCI; Toyota (TM) Claimed “Win” In Responding To Sienna Injuries ; Market Roundup (TM, FRE, C, MOT, AAPL)",1
JWN,2011-11-03,October Same-Store Sales Roundup: Mixed Message Before Holiday Shopping; Nordstrom October Same Store Sales up 5.4% vs 6.3% Est ,2
TM,2010-08-26,More? Toyota Issues New Recalls (TM); Toyota Has Plenty Of Friends In Mississippi But Few Elsewhere  ,1
RUTH,2014-02-21,"Ruth's Hospitality Raises Quarterly Dividend from $0.04 to $0.05 ; Ruth's Hospitality Group Reports Q4 Adjusted EPS of $0.21 vs $0.18 Est; Revenue of $108.90M vs $109.63M Est; Earnings Scheduled For February 21, 2014",1
JCI,2015-07-24,"Johnson Control Reports Q3 Inline EPS 0.91, Sales $9.61B Vs Est $9.58, Sees Q4 Cont. Ops EPS $1.00-$1.03; Earnings Scheduled For July 24, 2015; 10 Must Watch Stocks for Today",0
ZGNX,2011-09-26,UPDATE: Zogenix Lowers Price Target on Zogenix to $5; Oppenheimer Lowers PT on Zogenix to $5,1
FISV,2016-10-07,Benzinga's Top Initiations; Cantor Fitzgerald Initiates Coverage on Fiserv at Hold,1
RGLD,2011-08-22,"The Big ""R""  08-22-2011; NASDAQ Stocks Hitting 52-Week Highs",2
HBAN,2017-05-18,"Huntington Bancshares CEO Stephen D Steinour Buys 50,000 Shares @$12.39/Share -Form4; The Top 11 Analysts On TipRanks And What They Cover",2
KEY,2013-05-16,"KeyCorp Raised Quarterly Dividend from 0.49 to $0.5500/Share, Yields 20.6000%; KeyCorp Raises Qtr. Dividend from $0.05 to $0.055/Share",1
MTOR,2016-06-28,Meritor Shares Sink As Piper Jaffray Downgrades To Underweight; Option Alert: MTOR Nov16 9.0 Calls Sweep: 1719 @  ASK  $0.30: 1719 traded vs 4983 OI:  Earnings 8/3  $6.40 Ref; Piper Jaffray Downgrades Meritor to Underweight,0
TM,2013-05-01,"Total Vehicle Sales Comes in at 14.92 Million Vs. an Estimate of 15.25 Million; The Best of The ""Other"" Japan ETFs; Toyota Reports April US Auto Sales Down 1.1% to 176,160 Units vs Up 3.1% Est",1
ALSN,2017-09-18,Benzinga's Option Alert Recap From September 18; Allison Trans Option Alert: Nov 17 $35 Calls Sweep (2) at the Ask: 1000 @ $1.525 vs 110 OI; Ref=$34.955,1
GD,2012-08-27,UPDATE: General Dynamics Says Gayston Acquisition Will Add to Earnings in FY13; General Dynamics Acquires Gayston Corporation's Defense Operations; Top 4 Large-Cap Stocks In The Aerospace/Defense Products & Services Industry With The Highest ROE,1
CNX,2017-01-30,"20 Biggest Mid-Day Losers For Monday; Benzinga's Top Upgrades, Downgrades For January 30, 2017; SunTrust Robinson Humphrey Downgrades Consol Energy To Hold",0
GGP,2010-03-23,"Elliott Associates And Paulson & Co. Planning To Team Up With Brookfield Asset Management (BAM) To Invest In General Growth Properties (GGP); U.S. Equity Market Preview (GGP, ISSI, MEE, PVH, WEN)",0
SNY,2017-10-12,Three Ways To Approach The Cannabis Trade; Sanofi Invests €170M in New Vaccine Production Facility in France,1
CBG,2012-09-24,"Top Performing Financial Dividend Payers with the Most Upside Potential (NCT, SCBT, TPGI); CBRE Group Acquires CB Richard Ellis Vietnam",1
DKS,2012-08-06,These Retailers Are on a Roll; Invesco Plans to Seize Control of JJB Sports,1
TM,2016-06-01,"Autodata Reports May Auto Sales SAAR 17.45M Units; Toyota Reports 9.6% Drop In May Sales, Sees SUV Surge; Hearing Toyota Has Reported May US Auto Sales Down 9.6% YoY to 219.339 Units",1
SNY,2016-02-29,"25 Headlines Moving The Markets This Week; Sanofi Is Looking For Rare Disease Acquisitions, FT Says",1
TM,2016-05-11,Toyota Shares Unaffected Following Nikkei Report Co. Sees North American Growth Slowing to 10K Units in FY16; Toyota Reports FY 2016 Revenue 28.4T Yen vs FY 2015 27.2T Yen,0
COF,2014-05-23,UPDATE: Nordstrom News Crossed the Wires Yesterday; Nordstrom Said to Make Informal Approach to Potential Buyers of Cards Unit -Bloomberg,1
TM,2011-09-12,Toyota Europe Expects Free Cash Flow Positive Next Year; Fitch Cuts Toyota Debt,1
STRA,2016-02-04,"Mid-Afternoon Market Update: Kohl's Drops On Lowered Forecast; Glu Mobile Shares Spike Higher; Strayer Edu Q4 EPS $1.21 vs $1.18 est, Revenue $113.7M vs $113.6M est",0
EGO,2011-07-06,Mining Stocks Hold Gains Into Close; What Are Eric Sprott's Favorite Mining Stocks? ,2
GD,2015-06-04,General Dynamics Awarded $6.5M Contract By U.S. Navy For Payload Module Development; General Dynamics Board Approves Buyback Of An Additional 10M Shares,1
CUR,2016-05-03,Mid-Afternoon Market Update: On Deck Capital Drops Following Earnings Miss; Symmetry Surgical Shares Spike Higher; Mid-Day Market Update: Dow Falls 1%; Cognex Shares Gain Following Earnings Beat; Stocks Hitting 52-Week Lows; Neuralstem Prices 20M Share Offering At $0.40/Share,0
TM,2013-10-16,UPDATE: NADA Chair Says US Shutdown Affecting Auto Sales; Top 4 Large-Cap Stocks In The Auto Manufacturers Industry With The Lowest PEG Ratio,1
NBL,2012-05-30,"Noble Energy Reports Sale of North Sea Assets, Will Receive $127M; Says Continuing Efforts to Sell Non-Core US Onshore; UPDATE: Noble Says Land and Floating LNG Among Options for Mediterranean Region; UPDATE: Noble Said It Will Consider Selling Some of Its Leviathan Stake, Process Underway for Companies to Examine Leviathan, Possible Partners Would Like Noble to Operate Upstream; Noble Says It Could Take 12-18 Months to Reach Equilibrium on US Gas, Oil Price May Stay in Current Range, $4 Gas Means No Carry in Marcellus with Consol; May See if JV Partner Would Reduce More Gas Drilling",1
DNN,2011-05-02,A Few Questions and Answers on Uranium; A Few Questions and Answers on Uranium,1
TEO,2014-02-19,Mid-Afternoon Market Update: Markets Dip on IMF Comments; Mid-Day Market Update: US Stocks Turn Red; La-Z-Boy Declines On Downbeat Results; Mid-Morning Market Update: Markets Mixed; Signet To Acquire Zale For $21/Share,0
DKS,2016-06-28,"New MKM Survey Shows Positive Implications For Dicks, Amazon, Cabelas; Here's Why Dick's Sporting Goods Has 32% Upside; Goldman Sachs Maintains Buy on Dick's Sporting Goods, Maintains $53.00 PT, Adds To Conviction Buy List",1
SSL,2016-08-10,"Morgan Stanley Upgrades Sasol To Overweight, Says Valuation Failing To Price In Near-Term Catalyst; Morgan Stanley Upgrades Sasol to Overweight",0
TM,2013-05-23,Analyst Suggests Caution on Popular Japan ETF; Ford and Fellow U.S. Automakers Winning Market Share Battle,2
EFX,2016-02-10,"Equifax Sees FY 2016 EPS $4.95-$5.05 Vs Est $4.94 & Revs $3B-$3.1B Vs Est $2.85B; Equifax Sees Q1 Adj EPS $1.14-$1.16 Vs Est $1.17 & Revs $685M-$695M Vs Est $690.38M; Equifax Reports Q4 Adj EPS $1.14 Vs Est $1.11, Sales $666.3M Vs Est $662.38M",1
JCI,2011-01-26,Johnson Controls Announces Dividend of $.16; Zacks #1 Rank Additions for Wednesday - Tale of the Tape; Zacks #1 Rank Additions for Wednesday - Tale of the Tape,1
RGLD,2011-12-15,Royal Gold Increases Gold Stream Interest in the Mt. Milligan Project; Royal Gold Increases Gold Stream Interest in the Mt. Milligan Project  ,0
SNV,2016-12-06,Benzinga's Top Upgrades; Barclays Upgrades Synovus Financial to Equal-Weight,1
TM,2010-09-14,"Benzinga's Political Round Up (LMT, RTN, FXY, TM); Toyota's New Fleet Of Hybrids–Obsolete Before They Are Launched  ",1
TEO,2014-07-30,Telecom Argentina Resumes Trading Following Earnings Release; Telecom Argentina Halted; Pending News,2
MDCO,2011-05-31,Benzinga's Volume Movers; NASDAQ Stocks Hitting 52-Week Highs; Benzinga's Top Pre-Market NASDAQ Gainers,1
MKC,2011-03-25,Deutsche Bank Reports F1Q11 Earnings Preview On McCormick; Deutsche Bank Raises PT On McCormick To $51,1
MTOR,2011-12-28,"Afternoon Movers; All Sectors Down; End-of-Day Market Summary for December 28, 2011",0
DKS,2013-05-22,"UPDATE: JP Morgan Raises PT on Dick's Sporting Goods on Solid Operational Performance; UPDATE: BMO Capital Markets Downgrades Dick's Sporting Goods to Market Perform on Multiple Factors; JP Morgan Maintains Overweight on Dick's Sporting Goods Inc, Raises PT to $61.00; BMO Capital Downgrades Dick's Sporting Goods to Market Perform, Maintains $57.00 PT",1
GD,2016-10-07,Pentagon Says General Dynamics Won $509M US Defense Contract; General Dynamics Reports Winning of $900M Five-Year Contract for US SOCOM SWMS,1
NRG,2017-06-28,Benzinga's Option Alert Recap From June 28; Option Alert: NRG Energy Jul 18.0 Calls Sweep: 1353 @  ASK  $0.45: 2361 traded vs 12k OI:  Earnin,1
JWN,2011-04-07,"The Most Comprehensive Same-Store Sales Recap Of April 7, 2011 Ever; Nordstrom March Sales up 5.1%  ",1
JRVR,2016-11-02,"James River Group Declares A $1.35/Share Special Dividend, Increases Qtr. Dividend To $0.30/Share; James River Group Reports Q3 EPS $0.71 vs. Est. $0.71, Rev. $151.36M vs. Est. $151M",0
PAG,2011-09-26,"UPDATE: Penske Cites $300M Mercedes-Benz Financial, Toyota Motor Credit Pact; Penske Extends Credit Pact by 1 Year",1
HOS,2014-04-28,"UPDATE: Wunderlich Securities Upgrades Hornbeck Offshore Services on Good Things Ahead; Wunderlich Upgrades Hornbeck Offshore Services to Buy, Raises PT to $55.00",1
ACGL,2017-02-13,"Arch Capital Group Reports Q4 EPS $1.13 vs. Est. $0.97; Earnings Scheduled For February 13, 2017",1
CNX,2010-10-13,CONSOL Energy Announces Quarterly Production (CNX); JP Morgan's Preview On Coal's 3Q,1
TEO,2016-10-26,Benzinga's Top Initiations; Raymond James Initiates Coverage On Telecom Argentina SA at Outperform,1
PERY,2010-03-19,"Company News for March 19, 2010 - Corporate Summary; Benzinga’s News Roundup (NXY, PALM, TTEK, PERY, OSIP); Top 5 Stocks For March 19, 2010 (PERY, BAC, RF, NKE, FDX)",0
SYNL,2013-10-21,Morning Market Losers ; Synalloy Corporation Reports Q3 EPS of $0.23 vs $0.37 Est; Revenue of $54.40M vs $61.03M Est,0
AZN,2011-07-28,AstraZeneca Reports Q1 EPS $1.73 vs $1.80 Est; Earnings Scheduled For July 28,1
FISV,2010-09-14,"Fiserv Announces Cash Tender Offer for up to $250,000,000 ; Fiserv Announces Public Offering (FISV)",1
ADI,2012-05-31,"UPDATE: Citi Lowers Analog Devices' PT; Citigroup Maintains Analog Devices at Buy, Lowers PT from $46 to $41; Citigroup Maintains Analog Devices at Buy, Lowers PT from $46 to $41",1
CCIH,2013-08-19,"ChinaCache International Holdings Ltd. Sees Q3 Sales $44.30M-45.10M; ChinaCache International Holdings Ltd. Sees Q3 Sales $44.30M-45.10M; ChinaCache International Holdings Ltd. Reports Q2 EPS of $0.09 vs $0.06 Est; Revenue of $42.0M vs $49.40M Est; Earnings Scheduled For August 19, 2013",0
ZGNX,2012-11-26,Zogenix Announces New Chief Commercial Officer ; Zogenix Names R. Scott Shively as New Chief Commercial Officer,2
TM,2010-12-23,"Honda Recalls on Suspension Failure - Analyst Blog; Electric Cars, Mortgage Relief: Hot Trends",1
SPB,2013-01-07,"UPDATE: Deutsche Bank Reinstates Coverage on Spectrum Brands Holdings with Buy Rating, $55 PT; Deutsche Bank Reinstates Buy on Spectrum Brands Holdings, Inc., Announces $55.00 PT",2
YUME,2015-08-11,"Stocks Hitting 52-Week Lows; YuMe Shares Trading Down 15% Intraday But Well Off Session (and 52-Week) Low at $3.31; YUME Shares Resume Trading Following Halt; Benzinga's Top Downgrades; Piper Jaffray Downgrades YuMe to Neutral, Lowers PT to $4.00",1
OMED,2017-05-24,25 Stocks Moving In Wednesday's Pre-Market Session; Oncomed +21.5% Premarket @$4.40,0
RUBI,2016-02-24,"Benzinga's Volume Movers; Oppenheimer Maintains Outperform on The Rubicon Project, Lowers PT to $21.00",2
RLJ,2011-09-19,UPDATE: Goldman Sachs Lowers PT on RLJ Lodging Trust to $15; Goldman Sachs Lowers PT on RLJ Lodging Trust to $15,1
NM,2012-06-27,Navios Maritime Holdings Inc. Announces Pricing of $88 Million 8 7/8% First Priority Ship Mortgage Notes Due 2017  ; Navios Maritime Holdings Inc. Announces Proposed Private Offering of $88 Million 8 7/8% First Priority Ship Mortgage Notes Due 2017  ,1
NRG,2015-12-07,"NRG Energy Shares Spiking Higher Off Form 4 Filing; NRG Energy CEO Gutierrez Buys 10,000 @$8.85/Share -Form 4",2
TOL,2012-02-01,Could this Stock Profit from Higher Construction Spending? ; Toll Brothers Prices $300 Million of Senior Notes,2
MKC,2016-06-23,"McCormick Reveals New Product Lineup For Fall; McCormick No Longer A Sell At Citi After 1.5 Years; Benzinga's Top Upgrades; Citigroup Upgrades McCormick & Co to Neutral, Raises PT to $102.00",1
TXRH,2016-10-18,"Benzinga's Top Upgrades; Maxim Group Upgrades Texas Roadhouse, Inc. - Common Stock to Buy",1
EROS,2017-07-19,Benzinga's Option Alert Recap From July 19; EROS Option Alert: Dec 15 $15 Puts Sweep (26) at the Bid: 782 @ $2.75 vs 12 OI; Ref=$14.1,2
PTR,2010-10-28,Under The Hood: Global X China Energy ETF ; PetroChina Reports Profit Growth - Analyst Blog; PetroChina Profit Growth To Accelerate,1
PRGS,2013-03-27,"Progress Software Sees Q2 Sales Growth Flat on Constant Currency Basis, Sees Adj. Oper. Margin 21-24%; Progress Software Corporation Reports Q1 EPS of $0.23 vs $0.24 Est; Revenue of $89.30M vs $86.30M Est; Benzinga Market Primer: Wednesday, March 27; Earnings Scheduled For March 27, 2013",1
G,2011-01-13,"Benzinga's Top Downgrades (G, ATHR, ITT, PIR); J.P Morgan Gives IT & BPO Rating Changes",1
MDCO,2013-07-12,"Market Wrap for Friday, July 12: Stocks Rise as S&P 500 Closes At New All-Time High ; Mid-Afternoon Market Update: The Medicines Company Falls as Markets Remain Mixed; MDCO Shares Moving Today, Court Sides with Hospira in Claim against MDCO; Medicines Company Spikes Lower",0
AVY,2012-10-03,3M and Avery Dennison Terminate Agreement for Purchase of Office and Consumer Products Business; 3M Says Disappointed with Turn of Events; 3M and Avery Dennison Terminate Agreement for Purchase of Office and Consumer Products Business   ,1
RUTH,2015-02-13,"Stocks Hitting 52-Week Highs; Ruth's Hospitality Group Reports Q4 $0.23 Vs Est 0.22, Sales $98.9M Vs Est $109.41M",1
HBAN,2013-03-14,"Huntington Bancshares Receives No Objection from Fed on Proposed Actions, to Buyback Up to $227M, Raise Qtr. Dividend from $0.04 to $0.05/Share; Huntington Bancshares Plan Included Dividend Boost from $0.04 to $0.05/Share, Announces Buyback Plan of $227M; UPDATE: Jefferies Raises PT to $8.25 on Huntington Bancshares Following Meeting with Management; Jefferies Maintains Buy on Huntington Bancshares Incorporated, Raises PT to $8.25",1
TM,2012-11-05,"Credit Suisse Upgrades Toyota  from Neutral to Outperform; Toyota Motor Boosts Outlook on Strong U.S., Japan Sales ; Toyota Posts Surge In Q2 Profit, Lifts FY Forecast",1
GWPH,2015-12-24,"GW Pharmaceuticals Releases Encouraging Epidiolex Data, Shares Rise 5%; Benzinga's Top #PreMarket Gainers; GW Pharmaceuticals +7.3% Premarket @$72 Following Report of Epidiolex Data Published in the Lancet Neurology; GW Pharmaceuticals Announced Epidiolex Data  Published In The Lancet Neurology; UPDATE: GW Pharma's Epidiolex Data Published by The Lancet Neurology Shows Reduced Seizure Frequency Across Multiple Drug-Resistant Syndromes",1
AVA,2011-01-03,AES Corp. Extends Repurchase Prog  - Analyst Blog; AES Corp. Extends Repurchase Prog  - Analyst Blog,1
DKS,2012-08-14,"Citigroup Maintains Dicks Sporting Goods at Buy, Raises PT from $57 to $58; Dicks Sporting Goods Falls After Q2 Earnings; Dicks Sporting Goods Reports Q2 EPS $0.65 vs $0.64 Est; Revenues $1.44B vs $1.44B Est; US Stock Futures Up; Retail Sales Data In Focus; Earnings Scheduled For August 14, 2012",1
HBAN,2012-03-13,"UPDATE: Guggenheim Raises Huntington Bancshares' PT; Guggenheim Maintains Huntington Bancshares at Neutral, Raises PT from $6.25 to $6.5",2
BORN,2017-08-22,"China New Borun Reports Q2 EPS $0.10, Sales $81.9M; Earnings Scheduled For August 22, 2017",2
DKS,2011-05-13,Sterne Agee Maintains Neutral Rating On Dick's Sporting Goods; Piper Jaffray Raised The 1Q EPS From $0.28 to $0.29 And Reiterates Overweight Rating On DKS,1
MTOR,2015-07-29,"Meritor Sees FY15 Sales $3.5B-$3.55B vs $3.52B Est., Adj. EPS Guidance Raised from $1.30-$1.40 to $1.40-$1.50 vs $1.39 Est.; Meritor Reports Q3 EPS $0.41 vs. Est. $0.34, Rev. $909M vs. Est. $910.52M",1
SNY,2017-07-31,"Sanofi Raises FY 2017 Guidance, Sees FY EPS EUR 1.35; Earnings Scheduled For July 31, 2017",0
DKS,2016-10-24,"Here's How the Economy Is Faring According to Caterpillar, General Motors And Under Armour; Benzinga's Top Upgrades; Cowen & Co. Upgrades Dick's Sporting Goods Inc Common Stock to Outperform",1
DG,2016-05-23,Option Alert: SWEEP (BUY) - DG June 10  $80.5 Put@ 2.344 in 52 orders. 823 traded. OI: 46tio0n; Deutsche Bank Previews Dollar Store Earnings,1
IVZ,2016-01-12,"Invesco Reports Dec. 31, '15 AUM Down 2% MoM to $775.6B; Invesco Acquires Jemstep, Terms NOt DIsclosed",1
GWPH,2016-10-04,Leerink Rates Zogenix Outperform Ahead Of AES Meeting; GW Pharma Rapidly Approaching CNS Launch; Leerink Starts Coverage With $162 Target; Leerink Swann Assumes GW Pharmaceuticals at Outperform,1
BPL,2010-11-17,Unitholders OK BPL-BGH Merger - Analyst Blog; Unitholders OK BPL-BGH Merger - Analyst Blog,1
JWN,2014-02-19,"Citi Picks Macy's, Hudson's Bay as Leaders in Department Store Group; Citigroup Initiates Coverage on Nordstrom, Inc. at Neutral, Announces $65.00 PT",1
GWPH,2016-03-03,Benzinga's Top Initiations; Numis Securities Initiates Coverage on GW Pharmaceuticals at Sell; GW Pharma -2.5% Premarket @$39.97; Numis Initiated With Sell Rating,1
GD,2011-01-11,6 Defense Picks for Diversification; General Dynamics - Upgrades & Downgrades,1
DPW,2011-06-20,Digital Power Corporation Announces the Acquisition of 8.8% of Telkoor Telecom                            ; Digital Power Corporation Announces the Acquisition of 8.8% of Telkoor Telecom for $0.88 per Share,1
FISV,2014-09-29,"American Eagle Outfitters, Continental Resources, Inc. And Other Insiders Have Been Buying; Goldman Sachs Reinstates Neutral on Fiserv, Inc., Announces $46.00 PT",1
TM,2013-05-06,These 13 American Cars Released After the Bailout Are the Most Important; Quantitative Easing On Steroids,1
AEZS,2017-07-21,22 Stocks Moving In Friday's Pre-Market Session; Aeterna Zentaris +17% Premarket @$3.28,0
GD,2015-11-19,"Argus On General Dynamics: We've Been Waiting For This Moment, Time To Buy Shares; Benzinga's Top Upgrades; Argus Research Upgrades General Dynamics to Buy, Announces $160.00 PT",1
TM,2010-01-11,TM To Start Selling All-Electric Vehicle In 2012; Daimler’s (DAI) Smart Is Unable to Delight Size-Obsessed Americans,1
EFX,2012-07-27,"UPDATE: Stifel Nicolaus Downgrades Equifax to Hold on Near-Term Risks  ; Stifel Nicolaus Downgrades Equifax from Buy to Hold, Removes PT",1
AZN,2014-05-01,"Benzinga's M&A Chatter for Thursday May 1, 2014; Market Wrap For May 1: Markets Mixed To Start The New Month; Pfizer Could Weigh New Bid for AstraZeneca as Earlier as Next Week, May Be Over £50/Share - Bloomberg",2
STLD,2016-01-13,"UPDATE: Jefferies Top Steel Picks Are NUE, STLD, TKS, RS, And APAM; Jefferies Cautious On Global Steel Market, Says US Stronger Than EU On Relative Basis",0
DG,2017-02-27,"Which Has Better Value, Dollar Tree Or Dollar General?; Option Alert: Dollar Gen Mar 3rd 75.0 Puts Sweep: 807 @  ASK  $0.70: 1280 traded vs 222 OI:  Earnings 3/16 Before Open  $76.06 Ref",1
RLI,2010-12-27,RLI to Acquire Contractors Bonding - Analyst Blog; RLI to Acquire Contractors Bonding - Analyst Blog,1
NBL,2010-11-30,Setback for Noble in Ecuador - Analyst Blog; Setback for Noble in Ecuador - Analyst Blog,1
ACC,2017-04-24,"American Campus Communities Sees FY17 FFOM Of $2.32-$2.42; UPDATE: American Campus Communities Reports FFOM Of $0.62; American Campus Communities Reports Q1 Net Income $0.25 vs $0.27 Est., Sales $192.9M vs $181M Est.",1
HDP,2017-11-02,"Hortonworks Sees Q4 Sales $70M vs $66M Est., FY17 Sales $257M vs $247M Est.; Hortonworks Reports Q3 EPS $(0.24) vs $(0.40) Est., Sales $69M vs $63M Est.",2
GD,2010-11-30,Time To Look At Lockheed? (LMT); General Dynamics Awarded $21 Million Contract,1
TXRH,2012-05-02,"UPDATE: Deutsche Bank Lifts PT to $20 on Texas Roadhouse; Q1 Beat  ; Deutsche Bank Maintains Texas Roadhouse at Hold, Raises PT from $17 to $20",2
MKC,2013-09-26,"UPDATE: McCormick Reports Flat FQ3 Earnings; Earnings Scheduled For September 26, 2013; Stocks To Watch For September 26, 2013",1
AZN,2013-04-05,A Peek Into The Market Before The Trading Starts; AstraZeneca Announces Results from OSKIRA-1 Phase 3 Study of Fostamatinib in Rheumatoid Arthritis ,1
GWPH,2017-06-14,"Marijuana Industry Insiders On Why The IRS Is Targeting Them — And How To Avoid Business Disruption; Goldman Sachs Global Healthcare Conference Continues Today, Presenters Include: Agilent, Sage Therapeutics, and GW Pharmaceuticals",1
AMBC,2015-12-30,"Puerto Rico Gov. Padilla Challenges Claims Country Is In 'non-payment', Argues Constitution Allows For Protection Of Puerto Ricans; Puerto Rico Will Default On Some Debt, Will Pay ~$330M For General Obligation Bonds",0
NAV,2012-02-21,Navistar Stockholders Elect Three Incumbents to the Board of Directors at Annual Meeting; Navistar Stockholders Elect Three Incumbents to the Board of Directors at Annual Meeting,1
KEY,2017-06-28,"Benzinga's Federal Reserve Stress Test Recap; KeyCorp Raises Qtr. Dividend From $0.095/Share To $0.105/Share, Announces $800M Share Buyback",1
KEY,2017-10-19,"KeyCorp Q3 Adj. EPS $0.35 vs $0.35 Est., Sales $1.54B vs $1.56B Est.; Earnings Scheduled For October 19, 2017",2
AVY,2016-10-27,Benzinga's Top Downgrades; JP Morgan Downgrades Avery Dennison Corporation Common Stock to Overweight,1
SNY,2010-04-29,"France Telecom Falls Short Of Expectations, Banco Santander Excels In Net Interest Income And Sanofi-Aventis Net Income Jumps 10%; France Telecom Falls Short Of Expectations, Banco Santander Excels In Net Interest Income And Sanofi-Aventis Net Income Jumps 10%",1
AZN,2013-04-02,Benzinga's Top Upgrades; JP Morgan Upgrades Astrazeneca PLC to Neutral,1
RST,2011-11-04,Barrington Research Maintains Rosetta Stone Market Perform; UPDATE: Piper Jaffray Lowers Price Target on Rosetta Stone to $8; Piper Jaffray Lowers PT on Rosetta Stone to $8,0
EGO,2014-02-21,"Eldorado Gold Corporation Reports Q4 EPS of $0.01 vs $0.04 Est; Revenue of $231.70M vs $251.48M Est; Earnings Scheduled For February 21, 2014",0
MDCO,2013-01-09,"UPDATE: Bank of America Merrill Lynch Reiterates Neutral Rating, Raises PT on The Medicines Company; Bank of America Maintains Neutral on The Medicines Company, Raises PO to $30.00",1
DG,2016-06-01,"BTIG On Hardline/Broadline: Seven Buy Ratings, Four Neutrals, Two Sells; Dollar General Initiated At Buy, BTIG Research Is Positive On Co's Ability To Expand Square Footage Further; BTIG Research Initiates Coverage on Dollar General at Buy, Announces $105.00 PT",1
