stock,date,title,label
TOL,2012-01-09,DR Horton and Home Depot to Open Near 52-Week Highs,1
ACGL,2010-12-06,PowerShares Introduces Four KBW Financial ETFs,1
COF,2012-09-05,Capital One Financial Falls 1.5% Pre-Market on Tuesday's Announcement of ING Sale of 54M Shares,1
KEY,2014-10-15,Markets Drop; Bank Of America Posts Upbeat Earnings,2
ZGNX,2014-04-24,Benzinga's Top #PreMarket Gainers,0
TM,2010-01-29,"Halted Sales In US Could Cost Auto Dealers Of Toyota $2.47 Billion Per Month (TM, F, GRM)",1
ZGNX,2014-03-05,"After-Hours Movers Mar. 5, 2014: ERII, PXLW, BIOD, SEED Higher, DVAX, LYV Lower",0
TM,2010-11-26,Toyota Monthly Production Falls In October (TM),1
GD,2016-04-27,"Earnings Scheduled For April 27, 2016",2
MDCO,2013-01-08,"Mid-Day Market Update: Markets Remain Down, The Medicines Company Sees a Big Boost",2
AVA,2012-10-23,Avista Plans to Cut $14M From its 2013 Budget,1
CCIH,2017-06-01,Mid-Morning Market Update: Markets Edge Higher; Dollar General Tops Q1 Expectations,2
NKTR,2016-10-19,15 Biggest Mid-Day Losers For Wednesday,2
MBUU,2017-08-31,"KeyBanc Reinstates Overweight on Malibu Boats, Announces $31.00",1
AVY,2012-07-24,"Avery Guides Free Cash Flow $280-310M, Had Seen $275-325M",2
RGS,2011-10-05,Regis Corporation Issues Statement in Response to Starboard Letter to Regis Shareholders   ,1
ETN,2014-07-30,UPDATE: Deutsche Bank Downgrades Eaton,1
BTN,2016-05-20,Ballantyne Strong Reports Purchase of ~5.49M Common Shares of Kobex Capital Corp.,2
HBCP,2017-04-25,"Home Bancorp Q1 EPS $0.69 s $0.58 Est, Sales $18.79M vs $16.18M Est",0
FISV,2012-12-05,Stocks Hitting 52-Week Highs,2
PRGS,2012-05-07,UPDATE: Progress Software Comments on Withdrawal of Starboard Nominees   ,1
CASH,2011-08-30,Global Markets- Levels We Are Watching,0
HBAN,2011-02-09,"Mad Money Lightning Round: Cramer Likes Salesforce.com (SNV, HBAN, FHN, CRM, REN, UPL, SVM, SLV)",1
JWN,2016-08-01,"Goldman Sachs Assumes Coverage on Nordstrom at Neutral, Announces $39.00 PT",1
SSL,2012-09-04,Capture EM Dividend Growth With These Stocks,1
RGLD,2016-07-06,12 Stocks Moving In Wednesday's Pre-Market Session,1
NKTR,2015-06-24,Morning Market Gainers,2
G,2015-02-04,Genpact Limited Reports Q4 Adj. EPS $0.26 Vs Est $0.24,1
WAT,2016-01-06,Deutsche Bank Initiates Coverage on Waters at Hold,1
TM,2016-07-28,UPDATE: TrueCar Sees Auto Sales Seasonally Adjusted Annualized Rate at 17.7M Units,1
RGEN,2017-11-07,"Repligen Extends Long Term Supply Agreement with Purolite for Protein A Ligands, Terms Not Disclosed",1
FCF,2011-04-20,First Commonwealth Declares Quarterly Dividend Of $0.03,0
RENN,2012-04-20,RenRen Spiking Higher on CNBC Mention,1
KEY,2014-04-17,KeyCorp to Raise Quarterly Dividend to $.065/Share,1
PTR,2010-10-13,"Benzinga's Top ETF Decliners (ZSL, EDZ, BZQ, FXP)",1
GGP,2013-06-13,"Evercore Partners Upgrades General Growth Properties, Inc. to Equalweight, Raises PT to $21.00",2
GD,2012-10-22,Earnings Expectations for the Week of October 22,1
DKS,2011-11-16,Piper Jaffray Raises PT on Dick's Sporting Goods to $49,0
GD,2012-09-27,U.S. Army Awards General Dynamics $395M Contract,1
TM,2015-07-01,"Toyota Motor Sales, Overall Parts Solution Form Partnership",1
JWN,2010-05-14,JWN: Attractive Opportunity For Investors,1
MDCO,2011-06-03,Ligand and Medicines Company Agree to Worldwide License for Proprietary Captisol®-Enabled Intravenous Formulation of Clopidogrel,1
CJJD,2016-06-28,Mid-Morning Market Update: Markets Open Higher; Gannett To Acquire ReachLocal,2
CUR,2016-08-11,Neuralstem Reports Q2 EPS $(0.04) vs. Est. $(0.05),1
TM,2011-09-06,Market Update,1
LBRDK,2017-02-14,"13F Roundup: Apple, Bank Of America And Other Stocks Hedge Funds Love/Hate",1
JWN,2016-07-27,Nordstrom Plans To Extend Madewell Alliance To 20 More Stores This Fall,0
PTR,2011-01-07,Petrobras to Snap Up Galp Stake? - Analyst Blog,1
TOL,2012-08-22,Toll Brothers CEO says Sales Improving in Areas Written Off for Dead; Pheonix and Detroit Demand Improving; Expects to End FY 2012 with 225-235 Selling Communities,1
DG,2012-10-15,"Top 4 Large-Cap Stocks In The Discount, Variety Stores Industry With The Highest EPS",1
AGEN,2014-10-17,WHO Declares End to Ebola Outbreak in Senegal,0
MYOS,2015-12-17,Mid-Morning Market Update: Markets Mostly Lower; General Mills Sales Miss Views,0
CUR,2017-07-25,UPDATE: Neuralstem Reports SDQ Secondary Efficacy Endpoint Achieved Statistical Significance (p=0.044),2
NKTR,2014-06-09,Small Pharmaceuticals Rallying Following FDA Report,2
HBAN,2011-04-01,"Jefferies Upgrades Huntington Bancshares To Buy, $8 PT",1
HMNY,2017-10-10,12 Stocks Moving In Tuesday's After-Hours Session,2
GD,2011-08-25,General Dynamics Awarded $49 Million Contract for Field Service Support,0
HBAN,2010-12-28,TARP: A Success Story? - Analyst Blog,1
GD,2014-01-16, General Dynamics Awarded $227M Contract by US Navy,1
NBL,2017-08-11,Seaport Global Upgrades Noble Energy to Neutral,1
GD,2011-07-27,General Dynamics Reports Rise in Profit,0
PTR,2010-09-24,An Interesting China/Asia Pacific ETF You're Not Hearing About,1
DKS,2014-05-20,"From Dicks Call: Related to Golf, Exec Says Will Miss Guidance, Concerned About Decline in Rounds Played for Golfers",0
PCH,2012-10-22,Potlatchoration Reports Q3 EPS $0.46 vs $0.40 Est; Revenues $151.9M vs $154.37M Est,2
ADI,2011-12-02,"Sterne Agee Upgrades Analog Devices to Buy, $42 PT",0
HDP,2016-08-05,Mizuho Securities Downgrades Hortonworks to Neutral,2
TM,2013-04-04,Benzinga's Volume Movers,1
ETN,2011-12-22,5 Industrial Goods Stocks Insiders Are Bullish About,1
PAG,2012-10-17,Buckingham Downgrades Penske Automotive Group from Buy to Neutral,1
CINF,2017-04-17,Cincinnati Financial Corporation Reports Preliminary Estimate for First-Quarter Storm Losses Of ~$106M,1
KEY,2015-05-22,8K Filing: Keycorp Shareholders Reject Proposal To Separate Chairman & CEO Roles,1
TM,2016-09-01,"Toyota Reports August Sales Decreased 5% Year-Over-Year, Says 'Industry Took A Step Back In August'",1
AGEN,2014-07-01,"US Stock Futures Gain Ahead Of Manufacturing PMI, Auto Sales",0
JWN,2013-08-15,"UPDATE: Nordstrom Sees No Overall Margin Expansion Over Next Few Years, Says Sales Slowdown Is Short-Term Blip",1
AVY,2016-08-02,Avery Dennison Completes Acquisition of Mactac,1
MTOR,2011-05-20,"Options Brief: Motricity, Inc.",0
CINF,2010-10-28,Cincinnati Trails Estimates  - Analyst Blog,0
WNS,2015-12-15,Goldman Sachs Upgrades WNS (Holdings) to Buy,2
IVZ,2012-08-02,"PowerShares Files Plans for Dividend, EM Debt ETFs",1
AXGN,2014-12-11,"Axogen Corp CFO Johnston Jr Buys 10,000 Shares @$3.06/Share -Form 4",2
G,2016-02-18,Benzinga's Top Initiations,2
RENN,2012-05-18,Rivals Get Burned as Facebook Has its Day in the Sun,0
HALO,2011-04-01,Stifel Nicolaus Initiates Coverage on Halozyme Thearapeutics at Buy (HALO),1
CLI,2013-04-29,Mack-Cali Prices $275M Public Offering Of 10-Year Senior Notes,1
PRGS,2014-06-27,Nike Gains On Upbeat Earnings; Dollar General Shares Slip,1
YUME,2016-09-14,Boenning & Scattergood 'Not Convinced' AVI Partners' Offer For YuMe Will Result In A Deal,2
SNV,2017-09-07,"Wall Street's M&A Chatter From September 6: Cabelas, Merck-Rigontec, Altice-Charter, Amazon-Kohl's",1
RLGT,2013-10-01,Radiant Logistics Buys Time Express for Base Purchase Price $20M; Co. Expecting Q1 Adj. EPS $0.04-0.06 vs $0.03 Est.,1
MDCO,2010-08-03,Shares Of The Medicines Company Exploding After Court Ruling (MDCO),2
AVY,2011-05-23,"Top Containers & Packaging Stocks to watch on 5/23/11- LBIX, UFPT, NPO, GEF, CCK, SSCC, RKT, CLC, PAC, SEE, MINI",1
BPI,2011-03-02,Update: Piper Jaffray Raising Price Target On Bridgepoint Education (BPI),2
CBG,2010-10-06,Senior Notes from CB Richard Ellis - Analyst Blog,2
SNY,2010-08-04,"Stock Market News for August 4, 2010 - Market News",1
SNY,2017-02-24,U.S. FTC Approves Final Order Settling Charges That Boehringer Ingelheim $13.53B Asset Swap With Sanofi Would Likely Be Anticompetitive,1
AZN,2014-10-30,AstraZeneca Announces FDA Approves Once-Daily XIGDUO™ XR Tablets ,1
TM,2014-01-16,Toyota Executive Defends Hydrogen Fuel Cells and Dismisses Naysayers,1
ADI,2015-05-19,UPDATE: Analog Devices Expecting Q3 Sales $825M-$865M vs $846M Est.,1
DKS,2013-08-20,"  Earnings Scheduled For August 20, 2013",1
TM,2016-06-01,Autodata Reports May Auto Sales SAAR 17.45M Units,1
EGO,2016-06-27,Benzinga's Top Upgrades,0
TOL,2010-05-24,"Stocks To Watch For May 24 (CPB, BGP, PVH, DCI, TOL)",1
DKS,2014-05-15,Retail Companies Set To Release Quarterly Earnings,1
AEZS,2011-06-07,"Oppenehimer Initiates AEterna Zentaris At Outperform, $5.50 PT",0
CNX,2015-07-20,"Bank of America Reiterates Underperform on Consol Energy, Lowers PT to $17.00",1
TM,2014-04-10,Stocks Hitting 52-Week Lows,0
DKS,2012-06-27,UPDATE: Dick's Sporting Says Not Constrained Financially for Growth,1
NAV,2011-06-07,News Summary,0
NAV,2011-10-14,Option Alert: Navistar October 45 Call Rises 1100% ,0
TM,2011-05-16,Berlin Doubles Subsidies For Electric Vehicles -Dow Jones,1
GSS,2016-07-25,"Worst Performing Industries For July 25, 2016",0
AVY,2017-02-06,"Avery Dennison to Acquire Yongle Tape Company for $190M Upfront, Up to $55M Additional Based on Meeting Performance Targets",1
AZN,2016-02-25,"AstraZeneca's Acalabrutinib Receives Orphan Drug Designation in Europe for Treatment of Cll/Sll, Mantle Cell Lymphoma MCL and Lymphoplasmacytic Lymphoma -Reuters",1
BERY,2016-02-01,"Credit Suisse Reinstates Outperform on Berry Plastics Group, Announces $39.00 PT",1
DG,2014-07-28,"4 Stocks To Watch Amid Family Dollar, Dollar Tree Merger",2
OMED,2017-09-13,OncoMed Doses First Patient with GITRL-Fc for Phase 1a Clinical Trial,2
TCS,2014-01-07,Container Store Group Sees FY2013 EPS $0.40 vs $0.38 Est; Sees Sales $754.0M vs $756.0M Est,2
ADI,2014-06-09,Mid-Morning Market Update: Markets Edge Higher; Tyson Wins Bidding Battle To Buy Hillshire Brands For $63/Share,2
VNOM,2015-07-02,"S-3 from Viper Energy Shows Registration for Co., Selling Unitholders to Sell Up to $1B Common Units on Primary Basis, ~70.95M Shares on Secondary Basis",0
STLD,2012-01-17,"UPDATE: Deutsche Bank Initiates Buy, $19 Target on Steel Dynamics",1
CCIH,2011-11-25,Deutsche Bank Lowers PT to $11.30 on ChinaCache ,1
ALSN,2013-05-30,"Bank of America Reinstates Neutral on Allison Transmission Holdings, Inc.",1
INXN,2016-04-04,"Merger Talks Between Interxion, Digital Realty Said to be Stalled Over Price",1
MINI,2017-10-20,"Earnings Scheduled For October 20, 2017",1
STLD,2016-08-23,Option Alert: STLD Oct16 25.0 Puts Sweep: 586 @  ASK  $1.05: 750 traded vs 28 OI: $25.55 Re,1
AT,2016-11-07,Atlantic Power Narrows FY16 Projected Adj. EBITDA From $200-$220M To $205-$215M,2
AMRC,2017-07-21,Mid-Morning Market Update: Markets Open Lower; General Electric Profit Beats Expectations,2
ADI,2010-08-30,Merger Monday  08-30-2010,0
AIMC,2014-03-11,"KeyBanc Upgrades Altra Holdings, Inc. to Buy, Announces $42.00 PT",0
DG,2014-09-02,Markets Mixed; Conn's Profit Misses Estimates,1
COF,2011-09-15,Goldman Sachs Suggests Hedging Long Stock on Capital One Financial,1
ADI,2011-12-07,Analogic Earnings Preview: EPS Expected to Double,1
RUTH,2010-09-20,August Causal Dining Trends From Piper Jaffray,2
MDCO,2013-05-10,Stocks Hitting 52-Week Highs,2
HIIQ,2015-08-11,Health Insurance Innovations Reports Q4 Loss $0.04 Vs Est Gain $0.01,2
DKS,2017-03-07,Mid-Morning Market Update: Markets Open Lower; Dicks Issues Weak Forecast,0
RENN,2013-03-11,Renren Inc. Reports Q4 EPS of $(0.06) vs $(0.07) Est; Revenue of $48.80M vs $46.41M Est,2
RGEN,2015-08-06,"Repligen Reports Q2 Product Sales $21.5M vs $20.1M Est., EPS $0.11 vs $0.08 Est.; Sees FY15 Sales $78M-$82M vs $77.5M Est.",0
AVA,2011-06-20,Top 4 Small-Cap Stocks In The Diversified Utilities Industry With The Lowest PEG Ratio,2
FOXF,2017-05-17,"Benzinga's Top Upgrades, Downgrades For May 17, 2017",2
AMBC,2016-01-13,Three Ambac Shareholders Call for CEO Nader Tavakoli to Step Down -Reuters,0
UFI,2014-06-10,Benzinga's Volume Movers,2
TM,2010-10-01,Toyota Reports September Sales ,1
PERY,2011-08-30,"Financial Breakfast for August 30, 2011",2
TM,2011-09-27,Checking in: Jumper Cables Needed,1
HMNY,2016-06-08,Helios & Matheson +50% @$17.00,0
SNY,2014-07-10,"Watch Sanofi Shares as Bloomberg Reporting the Co.'s Dengue Vaccine Were Reported in Lancet, Showed Promise Against Three Out of Four Viruses",1
EFX,2014-02-12,"Earnings Scheduled For February 12, 2014",1
CPAH,2016-01-21,"CounterPath Reports Signing of Service Provider for Enterprise OTT Distribution in France, No Terms Disclosed",2
JWN,2014-02-20,"Nordstrom, Inc. Sees FY2014 EPS $3.75-3.90 vs $4.07 Est",1
ETN,2010-11-19,"Zacks Investment Ideas feature highlights: Eaton Corp, Honda Motor, CSX Corp and Caterpillar - Press Releases",1
NRG,2015-12-07,"NRG Energy CEO Gutierrez Buys 10,000 @$8.85/Share -Form 4",2
CNX,2011-08-18,Noble Energy Announces Marcellus Shale Joint Venture Conference Call ,0
DG,2014-08-18,Wal-Mart Spokesperson Has Said Co. Unlikely to Bid for Family Dollar - Bloomberg,1
COF,2014-01-16,Capital One Financial Corporation Reports Q4 EPS of $1.45 vs $1.55 Est,1
RGLD,2016-06-21,"Royal Gold, Inc. Announces Voluntary Delisting from Toronto Stock Exchange",1
KEY,2014-10-15,KeyCorp Falls On Downbeat Results; Penford Shares Climb,2
SNY,2017-06-13,"Wall Street's M&A Chatter From June 12: Neuroderm, Penn Virginia, Tesaro, Synaptics-Conexant",1
CBG,2017-07-27,CBRE Group Increases FY17 Outlook To $2.53-$2.63 vs $2.43 Est.,0
CHCO,2012-08-08,UPDATE: Sterne Agee Upgrades City Holding Company from Underperform to Neutral,1
HMNY,2017-10-24,Helios & Matheson Analytics Reports MoviePass Move Theater Subscription Service Has Surpassed 600K Subs,0
AT,2013-03-04,"Mid-Afternoon Market Update: Markets Turn Upwards, MBIA Spikes",0
DG,2012-06-04,US Stock Futures Down; Crude Oil Drops ,1
AGEN,2012-03-07,Hearing Rodman & Renshaw Saying Agenus Could Be Takeover Target of GlaxoSmithKline,2
CBG,2010-02-22,Blum Capital Offloads CB Richard Ellis Stock (CBG),1
MDU,2010-10-28,MDU Resources Beats Citigroup Estimate,0
NRG,2012-01-09,NRG Energy Hits 52-Week Low of $17.46,1
FOXF,2016-08-03,"Fox Factory Raises FY16 Rev. $387-$402M vs. Est. $390M, EPS $1.10-$1.19 vs. Est. $1.11; Q3 Rev. $106-$112M vs. Est. $110M, EPS $0.37-$0.41 vs. Est. $0.40",1
DKS,2013-03-12,"UPDATE: JP Morgan Cuts PT to $59 on Dick's Sporting Goods, Stays Overweight on Risk/Reward",2
MDCO,2015-04-13,"Hearing FDA Has Posted a Staff Review on The Medicines Co.'s Cangrelor, Says Should Be Approved",2
EFX,2015-08-04,Why Are Analysts Jumping Into TransUnion?,1
CCIH,2011-06-07,Top Percentage Gainers and Losers as of 12pm 06/07/11,0
BPI,2013-11-04,"Deutsche Bank Downgrades Bridgepoint Education to Sell, Maintains $13.00 PT",0
NKTR,2011-12-28,Notable Call Options Activity on Nektar Therapeutics,1
NBL,2015-06-09,Benzinga's Top Upgrades,1
WAT,2012-01-12,Waters Corp Spiking Higher,2
HIIQ,2016-03-03,"Health Insurance Innovations Reports Q4 EPS $0.10 vs. Est. $0.07, Rev. $33.6M vs. Est. $29.31M",1
IVZ,2010-06-10,Jefferies Lowers Invesco (IVZ) Price Target But Likes Long Term Outlook,2
TM,2014-06-30,Toyota's New Fuel Cell Car Does Not Impress Tesla's Elon Musk,1
KAI,2013-07-31,UPDATE: Barrington Raises PT on Kadant on Second Quarter Earnings,1
KAI,2011-03-21,Kadant Up 4% (KAI),2
PTR,2011-01-27,Oil & Gas Industry Outlook - Jan. 2011 - Industry Outlook,1
SPB,2015-05-06,Filing from Spectrum Brands Shows Registration for Automatic Common Stock Shelf Offering,1
MKC,2017-01-25,"Earnings Scheduled For January 25, 2017",2
CHSP,2012-10-25,"Chesapeake Lodging Boosts Size, Cuts Cost of Revolver",1
HOS,2015-12-14,"Hornbeck Offshore Services Chairman Hornbeck Buys 10,870 Shares @$9.20/Share -Form 4",0
NRG,2011-11-15,Afternoon Movers; Markets Moved Higher,1
ETN,2017-10-31,Eaton Reaffirms FY17 Outlook,2
WNS,2016-03-11,"The Market In 5 Minutes: Friday, March 11, 2016",1
DG,2014-08-18,Dollar Tree Shares Move Higher; May be Attributed to Upgrade at Bank of America to Buy with $71 PT,1
GWPH,2016-06-27,Investors Light Up GW Pharma After Epidiolex Meets Primary Endpoint; Stock Crosses $100,0
GD,2011-01-26,Earnings Scheduled For January 26,1
WAT,2016-03-01,Benzinga's Top Initiations,2
DKS,2010-10-19,Goldman Sachs Expects Bullish 2011 Outlook On Columbia Sportswear,1
OMED,2014-11-19,Oncomed Offers Data from Phase 1a Trial of OMP-52M51 in Oral Plenary Session,2
COF,2011-06-09,KKR Eyes Minority Stake in ING Direct USA,1
JCI,2011-09-20,Monday's Electric Car Stocks Trading,1
CASH,2017-07-26,Meta Financial Reports Q3 GAAP EPS $1.04 May Not Compare To $1.15 Est.,1
TOL,2015-11-04,UPDATE: Report Homebuilders Next Industry to Come Under Federal Scrutiny,1
GD,2010-12-17,"Insiders Trading LINC, GD, CBIN, ICE",1
MKC,2017-09-21,Five Overvalued Stocks With Earnings On The Way,1
TXRH,2014-11-25,Texas Roadhouse COO Ortiz To Retire,1
ONP,2015-03-25,"Orient Paper Reports Q4 EPS $0.11, Rev. $32.6M; Estimates Not Given",0
AVY,2011-07-19,Robert W. Baird Downgrades Avery Dennison To Neutral,1
TM,2010-09-01,Nissan Posts 27% Drop In August Sales ,1
RGS,2011-10-12,Regis Corporation Mails Letter to Shareholders   ,1
SPB,2013-04-30,"Spectrum Brands Holdings, Inc. Reports Q2 EPS of $0.44 vs $0.52 Est",1
JCI,2013-10-30,"Deutsche Bank Maintains Hold on Johnson Controls, Inc., Raises PT to $48.00",1
NRG,2011-11-03,UPDATE: NRG Energy Swings To Q3 Loss,2
NAV,2011-04-18,Morgan Stanley NAV Upgrade Feedback,1
COF,2015-04-23,Capital One Financial Q1 Earnings Top Views,1
GLMD,2015-06-23,"H.C. Wainwright Initiates Coverage on Galmed Pharmaceuticals at Buy, Announces $21.00 PT",1
CBG,2017-07-27,"CBRE Group Reports Q2 Adj. EPS $0.65 vs $0.53 Est., Sales $3.3B vs $3.4B Est.",0
AGRX,2017-10-12,30 Stocks Moving In Thursday's Pre-Market Session,2
AZN,2016-07-11,Astra Zeneca's Tagrisso Approved By Heath Canada As Treatment For Lung Cancer Patients,1
RGEN,2014-09-29,"Option Alert: Repligen Oct $22.5 Call; 2,450 Contract Traded Near Ask @$0.15; Currently $19.11",2
DG,2012-05-31,UPDATE: Guggenheim Raises Dollar General's PT ,1
JWN,2014-05-16,Stocks Hitting 52-Week Highs ,2
AVY,2010-11-29,Avery Expands Indian Facility - Analyst Blog,1
BCBP,2016-07-25,BCB Bancorp Announces EPS of $0.12 vs. $0.20 YOY and Net Income of $3.6M vs $3.7M YOY,1
CPAH,2017-07-27,CoutherPath Reports Hit Milestone With Millions Of Users In 190+ Countries,2
IVZ,2014-04-10,Morgan Stanley Has Positive Outlook on Invesco Ltd.,1
ELGX,2016-11-16,UPDATE: Endologix Says FDA Requested Co. Provide Two-Year Patient Follow-Up Data from EVAS-FORWARD IDE Study of Nellix System,2
TM,2014-11-19,"Fast Money Picks For November 19: Toyota Motor, Apple, Pandora, Qualcomm",1
NKTR,2016-12-06,Watch These 7 Huge Put Purchases In Tuesday Trade,1
TM,2011-02-24,Toyota Announces Two Voluntary Recalls ,2
RLJ,2017-07-17,"RLJ Lodging SEC Filing Details Receipt And Rejection Of $24/Share Downward-Revised Offer From Unnamed Private Equity Firm On July 6, 2017",2
AMRC,2012-08-08,"UPDATE: Cantor Fitzgerald Reiterates Buy Rating, Lowers PT on Ameresco",2
ELMD,2014-01-02,Morning Market Losers ,0
DKS,2014-05-20,From Dick's Call: Have Not Yet 'Found a Bottom in Golf',0
STRA,2012-05-18,UPDATE: Piper Jaffray Trims PT to $85 on Strayer Education; Fundamentals and Trends  ,1
JCI,2013-12-03,Power Play: Investors Are Drawn to Well-Diversified Eaton,1
JCI,2013-01-18,US Stock Futures Flat; GE Earnings In Focus,1
AGEN,2015-01-09,Stocks Hitting 52-Week Highs,2
CCIH,2014-08-19,"ChinaCache International Holdings Ltd. Reports Q2 EPS of $0.07, Up 17% YOY",0
PTR,2015-03-26,PetroChina Full-Year Profit Slips,1
TM,2011-01-20,Poll: And the Lithium Battery Stock Most Likely to Stage a Turnaround Is...,1
GAM,2012-02-02,General American Investors Company Announces Appointment of President  ,1
HALO,2011-03-23,"Wedbush Says HALO Is ""No Fallen Angel""",2
FISV,2011-07-27,JP Morgan Raises PT on Fiserv To $67,0
GD,2012-10-24,US Stock Futures Up Ahead Of Boeing Earnings,2
NNI,2015-11-16,UPDATE: Nelnet to Acquire ALLO Communications,1
ACC,2012-02-15,ISI: American Campus Comes in Just Ahead of Consensus,0
AVA,2011-07-01,Stocks to Watch for 07/1/11: Fresh 52 Week Highs and Lows,1
ALSN,2014-04-16,"Allison Transmission Holdings, Inc. Reports Q1 EPS of $0.28 vs $0.25 Est; Revenue of $494.0M vs $482.02M Est; Sees Q2 Sales Higher YoY",1
SNY,2017-11-02,"Alnylam And Sanofi Present 'Positive' Results From Phase 3 APOLLO Study Of Patisiran, Met Primary Endpoint",1
HBAN,2015-03-09,Miller Tabak Offers 'Optimistic Case' Scenario for Interest Rates Being Increased 2016,1
BPL,2011-05-10,Citi Comments On Buckeye Partners Following Better Than Expected Earnings Results,1
AMBC,2016-12-19,Mid-Afternoon Market Update: Dow Gains Over 50 Points; Globalstar Shares Surge Following FCC News,0
WNS,2011-12-19,Robert W. Baird Upgrades WNS Holdings to Outperform ,2
OSN,2013-07-29,Ossen Innovation Announces Listing Transfer to NASDAQ Capital Market,2
G,2011-05-19,"Oppenheimer Initiates Coverage on EXLS, G, WNS",1
EFX,2016-08-30,3 Companies Cowen Analysts See Ramping Up Capital Returns In 2017,1
CMCO,2017-02-28,Columbus McKinnon Names Mark Morelli CEO,1
ADI,2013-05-22,"Deutsche Bank Maintains Hold on Analog Devices, Inc., Lowers PT to $44.00",1
JWN,2017-09-13,Gordon Haskett Downgrades Nordstrom to Hold,1
BPL,2012-11-05,"Barclays Maintains Buckeye Partners at Equal-weight, Lowers PT from $57 to $53",0
DKS,2017-08-23,"Dick's Director Colombo Buys 20,000 @ Avg Price: $26.25 -Form4",1
TOL,2010-02-19,"Fast Money Picks For February 22th (FCX, CAL, LVS, TOL, MRO)",1
JCI,2012-05-09,Trading Options Near Expiration,1
MINI,2017-07-21,"Earnings Scheduled For July 21, 2017",0
HIIQ,2013-03-04,"Citigroup Initiates Coverage on Health Insurance Innovations at Buy, Announces $18.00 PT",2
TM,2014-11-17,National Automobile Dealers Association Sees US Auto Sales Crossing 16.9M Units in 2015,1
CNX,2015-10-02,Consol Energy Spikes to High on Volume,2
CNX,2012-07-27,BB&T Capital Markets Downgrades Consol Energy from Buy to Hold,2
DG,2013-04-30,"Dollar General Seeks to Hire 10,000 New Employees in May",1
JCI,2012-07-20,UPDATE: Deutsche Bank Downgrades Johnson Controls to Hold on Macro Headwinds  ,1
TOL,2011-04-20,"EXCLUSIVE: Interview with Martin Connor, CFO of Toll Brothers",1
CASH,2013-03-07,"Raymond James Initiates Coverage on Meta Financial Group, Inc. at Outperform, Announces $28.00 PT",1
DKS,2012-12-05,Dick's Sporting Goods Announces $2/Share Special Dividend,0
AZN,2013-04-02,Benzinga's Top Upgrades,1
RUTH,2016-04-22,Ruth's Hospitality Group Releases Investor Presentation,2
TST,2016-02-23,TheStreet Moves Lower Following Resignation Of CEO Elisabeth DeMarse,1
RUTH,2016-10-18,18 Biggest Mid-Day Gainers For Tuesday,1
AEG,2010-08-18,"Benzinga’s Top Upgrades (WFT, AEG, TSL, MDAS)",1
BPL,2010-11-16,"Buckeye Partners, L.P. & Buckeye GP Holdings L.P. Announce Merger Approved by Shareholders",1
TM,2010-02-04,US Stock Futures Point To Bleak Markets Today,1
JWN,2013-11-15,"#PreMarket Primer: Friday, November 15: Markets Higher Due To The 'Yellen Effect'",1
SNY,2014-12-01,"POZEN, Sanofi Mutually Agree to End U.S. Partnership for PA8140/PA32540",1
RLI,2014-01-16,Amended 13G Filing from Gerald Stephens on RLI Corp. Shows Reduced Stake from 5.29% as of Dec. 31st to 4.648%,1
YUME,2016-04-25,YuMe Sends Letter to Holders: Recommends Stockholders Support Its Highly Qualified Nominees and Long-Term Strategic Plan by Voting the WHITE Proxy Card Today,0
CUR,2017-01-06,Neuralstem Reports 1-for-13 Reverse Split,0
TM,2013-07-17,Kingdon Says Japanese Produce Cars with Fewer Workers and at Lower Cost,1
AZN,2014-01-14,Market Wrap For January 14: Markets Rebound On Earnings Season Kickoff,2
PAG,2012-05-25,Penske Automotive Group Announces Redemption of 3.5% Senior Subordinated Convertible Notes Due 2026   ,1
CPST,2016-04-19,Capstone Turbine Prices 2.7 Million Shares,0
AZN,2015-07-30,"Charles River Laboratories, AstraZeneca Renew Strategic Partnership Agreement",1
TM,2011-03-30,Toyota To Replace Parts Only When Necessary (TM),1
ETN,2011-01-27,Strong Markets Lift Eaton Corp. - Analyst Blog,2
MDCO,2013-02-04,"Jefferies Reiterates Buy Rating, $34 PT on Partnership with Alnylam Pharmaceuticals",1
TOL,2017-05-23,"Rally Hats On: Market Tries To Make It Four In A Row, But Terror Attack Raises Concern",0
RLGT,2012-03-02,Radiant Logistics Files $100M Mixed Securities Shelf,1
TM,2011-04-08,"Toyota North America Vehicle Plants Suspended April 15, 16, 21, 22, 25 (TM)",1
LUB,2012-12-19,"Luby's, Inc. Reports Q1 EPS of $0.01, Down 50% YOY; Revenue of $79.45M, Up Less Than 1% YOY",1
MTOR,2016-08-17,Watch These 7 Huge Call Purchases In Wednesday Trade,0
CNX,2011-01-11,Flooding Curbs Peabody Outlook - Analyst Blog,2
NRG,2015-02-27,NRG Energy Raises Annual Dividend 4% to $0.58/Share; Reaffirms 2015 Guidance,0
EFX,2011-04-27,Equifax Reports EPS of $0.58 vs. $0.58 Estimate; Revenues $472.6M vs. $473.54M Estimate (EFX),1
SNY,2015-12-10,Benzinga's Top Downgrades,1
AEZS,2011-08-30,"McNicoll, Lewis & Vlak Maintains Aeterna Zentaris Buy, PT",1
DG,2014-09-02,Dollar General Considers Taking Proposal Directly To Family Dollar Holders,1
AGEN,2014-03-20,US Stock Futures Drop Ahead Of Jobless Claims Report,2
COF,2017-04-25,"15 Stocks To Watch For April 25, 2017",1
